Recaudo;Semana;Venta;Cons;Grupos;Festivo;Ing;Egr;Ped;NS;OP
11281867;1;10202335;0,5582;6;2;773;6444;21136;0,752;192
8771003;2;10348824;0,5765;8;2;1453;11660;31072;0,7197;181
10975992;3;12343136;0,7158;10;1;2618;11376;36276;0,9598;294
9333463;4;9060492;0,5991;10;1;2574;8388;33235;0,7299;233
10200774;5;9664874;0,8001;8;1;4617;6155;34696;0,9502;293
8424914;6;7650439;0,826;7;1;4457;4594;32949;0,9011;298
7993046;7;7765909;0,6707;8;1;4061;3998;32843;0,7717;262
8093309;8;7480983;0,8097;6;1;2649;2417;25971;0,9652;319
9790339;9;8915156;0,8048;6;1;2772;2432;30201;0,9274;323
9853709;10;9785781;0,7133;8;1;3705;3437;36529;0,7834;266
9838114;11;9170907;0,8656;6;1;2926;3074;28898;0,9496;322
10484878;12;10454154;0,8468;6;2;2875;3895;32332;0,9156;267
9859623;13;11437046;0,6699;8;1;3511;3328;36933;0,7754;282
12084041;14;10145298;0,8209;6;1;2987;2504;29425;0,953;340
11552918;15;17971155;0,8055;11;2;4346;5053;51135;0,9027;280
9356690;16;6592194;0,4822;3;2;2614;2984;18690;0,5876;165
10187517;17;10935595;0,8063;6;1;3825;3810;30120;0,9622;316
12150639;18;11313353;0,8027;6;1;3709;4305;33009;0,9388;325
10635349;19;12149792;0,6643;8;1;4396;4942;38794;0,7829;279
10361598;20;10495006;0,7707;6;1;2599;4270;28352;0,943;334
12595048;21;11710459;0,7931;6;1;2725;4305;32283;0,9106;340
11401934;22;12653935;0,8208;8;2;3698;5204;39480;0,9427;281
10724041;23;10198371;0,8661;6;1;2850;4745;31183;0,9566;336
12241235;24;11614500;0,8425;6;1;3051;4561;34350;0,9021;336
11783667;25;13159072;0,7965;8;2;3753;4882;39446;0,9315;286
10255287;26;11554193;0,7631;6;2;2686;2746;28916;0,9664;282
12777221;27;12058088;0,7591;6;2;2497;3627;31420;0,9137;287
11707166;28;13054486;0,6705;8;1;3371;5368;38820;0,7842;278
10864071;29;10959235;0,8131;6;2;2609;5302;29465;0,9719;276
12131953;30;11440102;0,8208;6;1;2855;5375;33110;0,9444;335
12416166;31;12904318;0,6751;8;1;4512;5468;40500;0,7924;281
10916167;32;10882607;0,8103;6;1;3497;3815;30354;0,9566;339
11980248;33;12116890;0,788;6;2;3684;3923;32894;0,9085;285
12288123;34;13707331;0,6638;8;1;4329;4926;40635;0,7796;282
10980854;35;11315692;0,8198;6;1;2710;4091;30484;0,9709;337
13045849;36;11784981;0,8404;6;1;3074;4955;34618;0,9243;342
11326643;37;13429847;0,6602;8;1;3854;5750;40451;0,7807;284
11510421;38;11423805;0,7572;6;1;2680;4079;28480;0,9569;339
12489775;39;12661168;0,7668;6;1;2599;3827;31964;0,9159;345
13248165;40;13375138;0,6767;8;1;3566;5702;40353;0,7854;288
